city,p,q,mse,rmse,r2,mape
Torino,1,1,437.68055555555554,20.920816321442995,0.7223434191147902,0.3514260784764646
Torino,1,2,424.6666666666667,20.607442021431645,0.730599193439337,0.33727385154836387
Torino,1,3,428.75,20.706279240848655,0.7280088010685613,0.33267760559787946
Torino,1,4,427.1666666666667,20.668010708983743,0.7290132389266172,0.33374840355894175
Torino,2,1,420.5416666666667,20.50711258726266,0.7332160183853245,0.2774353488687107
Torino,2,2,417.8888888888889,20.442330808615953,0.7348988923404882,0.2794290523049424
Torino,2,3,423.06944444444446,20.568651984134608,0.7316124421557968,0.2862618046969738
Torino,2,4,365.8611111111111,19.127496206014815,0.7679043679218672,0.3187927566062436
Torino,3,1,413.43055555555554,20.332991800410376,0.7377271778881718,0.27954614713709464
Torino,3,2,415.8888888888889,20.39335403725657,0.736167655950664,0.2755135050740542
Torino,3,3,418.0416666666667,20.446067266510365,0.7348019728980443,0.3090766880891044
Torino,3,4,375.18055555555554,19.369578094412784,0.7619922819327841,0.28200678368374166
Torino,4,1,418.8611111111111,20.46609662615495,0.7342821322522084,0.30652524272351855
Torino,4,2,0.0,0.0,0.0,0.0
Torino,4,3,412.8888888888889,20.31966753883756,0.7380708013659278,0.27893840283475463
Torino,4,4,400.7361111111111,20.018394319003487,0.7457803024694266,0.30343448035787346
Torino,5,1,410.75,20.266968199511243,0.7394276735601435,0.284013249782246
Torino,5,2,0.0,0.0,0.0,0.0
Torino,5,3,403.06944444444446,20.076589462467087,0.7443000782575548,0.31265367890942986
Torino,5,4,293293.4166666667,541.5657085402164,-185.06000708539864,1.1865975871326204
Torino,6,1,418.0,20.445048300260872,0.7348284054732563,0.2840138416446378
Torino,6,2,421.05555555555554,20.51963829007606,0.7328900166243766,0.2851546180264597
Torino,6,3,0.0,0.0,0.0,0.0
Torino,6,4,0.0,0.0,0.0,0.0
Seattle,1,1,436.0138888888889,20.880945593743807,0.834187510394018,0.41345429647326487
Seattle,1,2,417.7916666666667,20.43995270705553,0.8411172713714029,0.4183085009352274
Seattle,1,3,396.375,19.909168742064548,0.8492618532518357,0.4111248448132712
Seattle,1,4,400.05555555555554,20.00138884066693,0.8478621682983242,0.416210981741996
Seattle,2,1,352.19444444444446,18.766844285719547,0.8660633545239864,0.34905702347401335
Seattle,2,2,348.4583333333333,18.667038686769075,0.8674841667975509,0.36013562167911184
Seattle,2,3,351.80555555555554,18.756480361612503,0.8662112457643575,0.3600971541231657
Seattle,2,4,373.30555555555554,19.321116829923564,0.8580349729038452,0.37719135043915336
Seattle,3,1,345.8888888888889,18.598088312751095,0.8684613053500023,0.36133348608806776
Seattle,3,2,353.6111111111111,18.80455027675778,0.8655246078626349,0.3586227182626692
Seattle,3,3,304.7638888888889,17.45748804636248,0.8841008040192379,0.32314662361132257
Seattle,3,4,351.40277777777777,18.745740256863098,0.8663644188347417,0.3666981296791071
Seattle,4,1,603.5833333333334,24.56793302932368,0.7704622312841471,0.384294969921516
Seattle,4,2,0.0,0.0,0.0,0.0
Seattle,4,3,363.77777777777777,19.072959334559958,0.8616583082929352,0.34219925937923673
Seattle,4,4,345.09722222222223,18.576792570899375,0.8687623696607576,0.34473687358863564
Seattle,5,1,355.05555555555554,18.842917915109528,0.8649752975412568,0.35386342294817474
Seattle,5,2,0.0,0.0,0.0,0.0
Seattle,5,3,356.3611111111111,18.8775292639453,0.8644788055200112,0.3809386044493126
Seattle,5,4,386.25,19.653244007033546,0.8531123073314955,0.35660978993860504
Seattle,6,1,339.55555555555554,18.427033281447002,0.8708698198360447,0.33155440907460204
Seattle,6,2,0.0,0.0,0.0,0.0
Seattle,6,3,362.69444444444446,19.04453844136015,0.8620702910339688,0.36122970525038217
Seattle,6,4,367.8611111111111,19.17970570971075,0.8601054502690395,0.36109375749608486
Stuttgart,1,1,564.3888888888889,23.75687035130867,0.7327332832926239,0.4728895587212303
Stuttgart,1,2,547.3888888888889,23.39634349399258,0.7407836440872353,0.4741213454575802
Stuttgart,1,3,554.3472222222222,23.544579465818074,0.7374885209188526,0.47654008511513557
Stuttgart,1,4,574.5277777777778,23.969309080108626,0.7279320060213279,0.45684104141840975
Stuttgart,2,1,534.1388888888889,23.111444976220955,0.7470581900006823,0.39142069765495124
Stuttgart,2,2,526.8194444444445,22.9525476678395,0.7505243175650289,0.3882164551640444
Stuttgart,2,3,529.8472222222222,23.018410505988943,0.7490905114757926,0.39584281532293175
Stuttgart,2,4,526.4166666666666,22.943771849167838,0.7507150532374502,0.43422033935145476
Stuttgart,3,1,549.9861111111111,23.45178268514168,0.7395537278547252,0.46972114500675904
Stuttgart,3,2,543.1666666666666,23.305936296717768,0.7427830801015831,0.3971127529016269
Stuttgart,3,3,527.0,22.956480566497994,0.7504388153670469,0.40797186092765103
Stuttgart,3,4,531.2638888888889,23.049162433565538,0.7484196480762417,0.4091102727488909
Stuttgart,4,1,552.4166666666666,23.50354583178178,0.7384027367280446,0.4662610123504886
Stuttgart,4,2,0.0,0.0,0.0,0.0
Stuttgart,4,3,528.5694444444445,22.99063819132571,0.749695603953819,0.410911944771833
Stuttgart,4,4,531.0972222222222,23.045546689593245,0.7484985731820712,0.4046080134467733
Stuttgart,5,1,557.7777777777778,23.61731944522447,0.735863979157195,0.4209001269970458
Stuttgart,5,2,540.8611111111111,23.25642085771392,0.7438748773988916,0.40004203110869835
Stuttgart,5,3,537.25,23.178653972998518,0.7455849213585313,0.41032641202041203
Stuttgart,5,4,0.0,0.0,0.0,0.0
Stuttgart,6,1,533.9305555555555,23.106937390220182,0.7471568463829692,0.4057609128854227
Stuttgart,6,2,532.4444444444445,23.07475773316904,0.7478605952432825,0.40229706004748494
Stuttgart,6,3,533.0694444444445,23.0882966986403,0.7475646260964218,0.40230458458557133
Stuttgart,6,4,534.0138888888889,23.108740530130344,0.7471173838300544,0.4138624689406661
