COD_ZONA_PAR,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023
Q001,210,56,63,15,55,54,67,47,33,36,25,28,40,42,17,27,41,28,17,11,21,24,16
Q002,57,78,16,6,8,11,10,11,23,7,10,8,6,6,4,4,7,4,5,2,4,15,10
Q003,61,20,100,18,36,16,19,1,11,23,23,16,17,8,6,6,7,6,6,3,2,4,4
Q004,18,6,19,63,36,14,6,3,8,4,10,14,25,7,2,3,4,2,4,0,3,0,6
Q005,53,10,33,38,99,43,14,7,12,4,10,14,21,15,7,3,12,2,3,1,3,3,8
Q006,60,10,17,13,44,137,24,14,17,11,9,11,18,42,11,22,27,7,5,3,4,6,10
Q007,61,11,18,7,11,23,91,32,10,6,5,12,6,12,4,16,19,44,20,8,9,3,4
Q008,47,7,1,3,7,13,31,73,8,8,4,5,5,4,2,6,10,12,6,8,24,9,5
Q009,36,20,11,8,13,18,12,10,96,23,9,16,4,13,8,8,5,2,6,7,5,6,14
Q010,34,8,22,3,6,11,8,6,26,92,19,24,8,5,5,10,10,1,1,1,5,5,48
Q011,25,8,19,14,9,9,5,4,10,15,72,35,2,5,1,5,5,1,2,2,0,4,10
Q012,26,6,16,11,14,12,11,4,16,25,36,108,12,9,2,5,6,1,3,0,2,3,25
Q013,36,6,15,25,25,19,6,6,6,8,2,12,97,47,5,6,7,1,5,2,0,5,7
Q014,39,7,8,8,14,39,11,5,10,5,4,9,46,105,14,12,14,5,4,1,0,2,8
Q015,16,3,7,1,9,11,4,1,7,6,1,3,5,14,77,26,14,5,8,2,1,2,1
Q016,24,4,5,3,2,21,15,6,11,10,5,5,6,11,28,74,34,5,6,5,2,1,8
Q017,44,7,8,3,11,28,20,10,5,9,5,3,7,17,15,33,164,9,13,6,3,1,8
Q018,26,5,7,2,3,8,40,11,2,1,1,2,1,5,5,6,9,111,36,17,8,1,4
Q019,20,6,7,3,2,4,17,6,5,0,2,2,5,5,8,5,14,37,61,10,4,1,4
Q020,11,2,3,0,2,3,8,7,7,1,1,0,2,0,1,5,6,16,9,23,1,0,4
Q021,18,3,2,3,5,4,11,22,5,5,0,2,1,0,1,3,3,7,5,1,53,7,5
Q022,28,15,5,0,2,7,3,7,6,5,3,2,5,1,2,1,1,1,1,0,7,38,6
Q023,18,9,4,9,9,10,4,6,13,49,9,23,7,8,1,7,8,3,3,5,4,6,124
