COD_ZONA_PAR,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023
Q001,103,24,28,7,25,29,32,24,17,15,8,13,18,13,11,9,18,17,6,4,14,8,2
Q002,25,44,7,3,2,7,3,1,10,2,3,2,3,0,2,3,0,0,1,1,2,3,5
Q003,30,7,64,12,18,6,3,1,4,9,15,6,10,9,2,2,2,0,0,0,4,3,2
Q004,7,2,12,38,14,5,4,2,4,2,8,8,13,5,0,1,2,1,3,0,0,2,2
Q005,26,3,17,13,68,20,7,2,6,1,6,4,22,6,4,1,3,0,3,1,1,0,7
Q006,31,7,7,4,21,83,17,3,11,6,6,4,11,18,2,12,12,7,3,2,4,4,3
Q007,32,3,4,2,6,17,42,17,1,5,1,2,0,4,5,4,12,21,14,2,3,2,1
Q008,21,2,2,3,1,4,15,52,6,3,1,1,5,2,0,0,5,4,4,2,5,3,0
Q009,16,10,4,4,5,11,2,7,55,13,6,5,3,3,3,2,3,1,3,1,6,4,17
Q010,13,3,8,2,3,7,4,2,12,69,13,11,4,1,2,3,1,0,0,1,1,3,19
Q011,10,1,13,9,7,5,1,1,8,7,53,24,5,2,0,2,0,2,5,0,0,4,4
Q012,13,1,6,6,4,4,2,1,6,13,22,51,8,6,1,1,1,0,1,2,0,2,10
Q013,18,2,10,13,21,12,0,4,4,4,7,7,53,29,3,1,3,0,2,2,0,1,0
Q014,14,1,7,6,8,15,3,2,1,1,1,5,28,59,6,9,4,2,1,0,0,2,5
Q015,8,2,3,0,5,4,5,0,1,2,0,1,4,6,50,21,5,2,5,1,1,1,2
Q016,7,2,1,1,0,11,5,0,2,4,2,2,1,8,21,38,11,2,4,1,0,2,1
Q017,16,0,3,2,2,14,10,6,5,1,0,1,3,5,7,11,97,4,4,3,1,1,1
Q018,15,0,1,1,1,7,20,4,2,0,2,0,0,2,2,2,5,41,10,6,3,0,0
Q019,7,2,0,2,3,3,17,4,3,0,5,0,2,1,5,2,3,10,23,4,4,1,0
Q020,4,1,0,0,2,2,2,1,1,0,0,2,2,0,0,1,3,6,4,19,2,2,1
Q021,11,2,4,0,1,4,5,5,7,1,0,0,0,0,0,0,1,3,3,2,31,1,0
Q022,9,2,4,2,1,2,2,2,4,4,3,1,0,1,1,2,1,1,1,2,2,22,2
Q023,3,6,2,3,6,4,1,0,16,19,2,10,1,5,2,0,1,0,0,1,0,2,33
