,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023
Q001,1905,820,1791,548,981,904,811,742,309,418,335,280,305,284,73,171,211,140,68,398,629,54,134
Q002,689,250,544,159,259,131,155,257,166,179,89,62,101,50,32,21,26,26,11,86,230,16,55
Q003,1390,518,652,342,567,367,214,191,245,295,247,207,192,138,28,30,42,31,13,56,186,15,83
Q004,353,137,339,183,356,234,83,56,74,85,128,113,155,101,19,21,35,10,19,20,29,1,50
Q005,833,247,611,472,486,514,306,187,99,138,203,141,303,210,61,109,67,53,27,59,81,16,52
Q006,736,134,343,234,437,552,383,238,66,76,89,75,203,296,110,133,169,93,35,51,55,31,20
Q007,641,159,163,92,315,416,476,388,57,48,49,36,92,110,55,81,114,116,58,122,103,70,14
Q008,617,209,163,79,182,228,374,309,59,55,31,31,55,47,20,29,78,76,32,195,142,44,28
Q009,291,181,226,71,116,80,52,62,201,227,67,71,60,34,7,5,14,11,2,35,91,8,94
Q010,284,215,270,85,109,70,39,49,179,248,90,130,53,37,7,6,12,0,3,8,44,3,183
Q011,217,103,182,126,134,83,34,21,58,97,55,108,60,40,11,12,13,7,2,14,28,2,54
Q012,173,67,192,129,113,57,41,22,82,134,87,148,62,58,14,10,19,3,10,7,20,0,73
Q013,221,63,153,146,214,194,118,53,33,36,69,81,235,235,42,53,39,10,8,6,13,5,21
Q014,170,40,92,115,183,255,115,61,28,34,33,64,192,300,96,82,63,12,10,12,11,5,31
Q015,80,20,28,11,52,89,76,29,6,12,19,10,60,57,50,29,69,21,8,12,0,3,16
Q016,103,18,35,34,93,134,135,51,3,10,12,17,80,83,54,39,99,37,11,11,5,14,7
Q017,122,21,41,39,88,145,133,56,14,12,23,14,31,56,55,72,95,79,39,16,6,17,4
Q018,90,20,7,14,35,112,135,84,13,7,4,10,12,20,15,22,53,32,22,18,11,25,4
Q019,49,9,13,12,19,31,62,42,14,1,1,3,14,9,13,14,24,21,9,8,4,11,3
Q020,280,77,35,8,26,48,85,136,28,4,8,3,7,7,7,6,14,14,6,120,68,10,5
Q021,468,196,141,16,77,49,80,137,76,44,19,23,11,24,11,8,10,11,12,84,142,20,17
Q022,62,12,15,4,26,30,69,43,4,1,2,2,4,5,3,5,20,38,12,8,7,3,1
Q023,133,82,134,57,73,43,27,19,137,164,67,69,43,40,8,5,3,6,4,4,12,0,175
