ID_INT,PROGR_USC,PROGR_SPOST,SESSO,FASCIA_ETA,COD_ZONA_RES,SCOPO,COD_ZONA_PAR,PROV_PAR,ORA_PAR,COD_ZONA_ARR,PROV_ARR,ORA_ARR,USO_MEZZ,MEZZO1,MEZZO2,MEZZO3,PAX_AUTO,NUM_LIN_URB,COD_ALTROURB,COD_ZONA_2M,PROV_2M,ORA_2MEZZO,COD_ZONA_3M,PROV_3M,ORA_3MEZZO,TASSO_CAMP
"08139335",1,2,1,2,"C006","05","Q005","001","02/02/17 10:00:00","Q023","001","02/02/17 10:20:00",1,"03","","",1,,"","","","","","","",3.17460317460317
"08139641",1,2,2,4,"C009","04","Q002","001","02/02/17 16:30:00","Q023","001","02/02/17 16:50:00",1,"03","","",1,,"","","","","","","",3.00040005334044
"08139830",1,2,1,2,"C004","04","Q019","001","02/02/17 14:30:00","Q019","001","02/02/17 14:50:00",2,"","","",,,"","","","","","","",3.14072267113887
"08140616",1,2,1,2,"C003","09","Q003","001","02/02/17 20:00:00","Q005","001","02/02/17 20:30:00",1,"19","","",,,"","","","","","","",3.15991062879026
"08140678",1,2,2,3,"C011","04","Q009","001","02/02/17 09:00:00","Q009","001","02/02/17 09:10:00",2,"","","",,,"","","","","","","",3.11211871393238
"08140745",1,2,2,3,"C004","04","Q015","001","02/02/17 18:00:00","Q021","001","02/02/17 18:15:00",1,"03","","",0,,"","","","","","","",3.01962757926519
"08140799",1,2,2,3,"C006","04","Q010","001","02/02/17 10:45:00","Q020","001","02/02/17 11:00:00",1,"03","","",1,,"","","","","","","",2.98655063291142
"08141314",1,2,2,3,"C009","04","Q022","001","02/02/17 18:15:00","Q022","001","02/02/17 18:30:00",1,"03","","",0,,"","","","","","","",3.14127330757596
"08141976",2,2,1,4,"C003","09","Q001","001","02/02/17 15:40:00","Q007","001","02/02/17 16:10:00",1,"06","","",,1,"","","","","","","",2.87769784172662
"08142800",1,2,2,2,"C003","07","Q012","001","02/02/17 19:30:00","Q019","001","02/02/17 19:45:00",1,"03","","",1,,"","","","","","","",3.13208324747582
"08143087",1,2,2,3,"C003","04","Q006","001","02/02/17 15:00:00","Q006","001","02/02/17 15:10:00",1,"03","","",0,,"","","","","","","",3.06374881065652
"08143375",1,2,1,4,"C004","09","Q001","001","02/02/17 17:00:00","Q018","001","02/02/17 17:15:00",1,"03","","",1,,"","","","","","","",2.8028933092224
"08146677",2,2,2,3,"C023","07","Q008","001","02/02/17 19:20:00","Q002","001","02/02/17 19:40:00",1,"04","","",,,"","","","","","","",2.80898876404494
"08147093",1,2,1,1,"C016","02","Q001","001","02/02/17 14:00:00","Q014","001","02/02/17 14:35:00",1,"06","19","",,1,"","Q005","001","02/02/17 14:20:00","","","",3.19865319865318
