,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023
Q001,1687,679,1534,451,819,758,660,595,248,350,281,244,244,236,63,146,179,126,55,326,547,45,106
Q002,604,200,430,129,196,86,119,202,134,157,77,46,82,34,21,15,23,18,8,67,185,15,44
Q003,1183,416,557,286,476,316,163,153,212,234,209,173,166,122,26,19,37,18,12,40,164,12,68
Q004,273,102,245,149,282,182,66,44,53,69,105,85,132,86,13,15,29,7,16,19,25,0,47
Q005,696,177,487,405,404,411,240,144,82,116,165,120,235,168,50,86,53,40,24,55,64,16,45
Q006,601,99,280,190,350,450,305,182,47,67,80,66,164,247,95,117,143,74,30,44,41,25,17
Q007,443,117,114,68,234,311,369,300,42,40,43,32,72,91,40,68,87,103,48,100,83,64,11
Q008,494,146,125,56,150,182,287,247,44,39,24,26,43,37,17,25,68,68,30,153,110,40,22
Q009,254,139,187,56,87,60,44,49,161,199,59,59,41,24,5,4,9,8,2,33,87,4,86
Q010,239,164,214,71,80,56,29,32,143,236,66,116,45,29,6,5,8,0,1,8,35,3,159
Q011,182,66,139,97,97,63,27,15,47,81,43,83,47,27,9,7,12,6,2,13,21,2,45
Q012,150,48,136,110,84,49,36,15,67,108,67,124,51,46,13,10,17,3,9,5,15,0,62
Q013,162,39,102,120,161,147,96,45,17,29,62,65,176,188,34,48,27,6,8,2,13,4,17
Q014,138,32,74,83,122,204,98,44,22,27,28,54,136,267,83,73,49,12,9,9,8,4,26
Q015,54,12,19,9,34,64,56,21,4,8,13,5,50,38,46,29,58,14,7,10,0,3,12
Q016,85,17,29,26,85,117,110,39,3,8,11,16,68,66,46,32,85,33,9,9,4,13,6
Q017,95,16,35,33,69,128,110,43,12,12,20,13,27,50,53,65,79,68,38,14,5,17,3
Q018,60,14,5,12,26,88,86,52,10,5,3,9,9,15,10,22,43,28,19,15,9,21,2
Q019,34,7,10,12,18,28,53,27,13,1,0,3,11,7,13,12,21,18,9,6,4,11,1
Q020,237,60,29,6,22,38,70,106,21,3,6,3,6,7,7,4,14,11,3,86,60,9,4
Q021,391,164,106,11,55,34,67,105,59,39,12,16,8,18,7,5,9,8,12,71,120,20,13
Q022,43,7,12,4,19,28,63,36,3,1,1,2,2,1,3,4,20,37,12,8,7,3,0
Q023,117,66,122,52,64,33,21,15,125,147,45,61,31,35,7,5,3,5,4,4,11,0,152
