,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023
Q001,263,107,214,90,144,144,114,86,53,70,56,34,62,45,21,29,23,16,3,62,78,4,18
Q002,101,40,54,23,32,23,29,23,38,30,8,13,5,14,5,1,2,3,1,8,25,3,4
Q003,204,59,83,39,83,23,28,22,29,40,29,16,29,17,4,2,6,6,1,9,19,5,9
Q004,59,20,45,28,54,15,19,9,14,18,18,15,33,28,7,2,3,3,0,2,4,1,5
Q005,141,34,59,48,74,79,49,31,8,17,23,15,50,42,15,18,15,10,2,9,16,4,7
Q006,123,25,32,24,57,87,80,48,13,8,9,13,19,39,22,24,11,14,7,12,7,4,0
Q007,94,27,23,11,40,68,57,58,4,8,5,4,19,18,12,16,28,19,6,13,13,13,3
Q008,100,34,24,8,14,38,54,31,8,8,4,4,10,10,6,8,15,8,6,29,11,0,4
Q009,43,32,43,17,10,14,10,6,24,32,7,13,5,7,2,0,3,2,0,4,17,1,17
Q010,52,33,54,13,20,5,6,6,37,41,8,19,7,4,3,2,1,1,0,0,4,0,25
Q011,48,8,30,19,11,17,4,7,5,9,5,15,10,4,5,2,3,0,3,0,5,0,2
Q012,37,12,12,21,17,8,9,4,18,21,16,23,11,9,4,2,2,2,3,1,9,0,11
Q013,49,10,31,23,39,21,15,11,6,5,12,13,59,43,0,9,9,2,1,0,3,0,1
Q014,43,13,13,20,28,42,16,11,2,2,4,8,28,31,8,11,13,2,0,0,2,2,1
Q015,15,7,7,2,15,13,9,4,1,3,6,3,15,10,6,9,7,3,4,1,1,0,2
Q016,14,3,2,2,13,12,12,8,0,1,2,3,9,12,11,6,13,1,1,2,2,2,0
Q017,12,5,6,7,18,18,17,6,3,0,5,3,8,9,10,12,16,9,4,7,1,1,1
Q018,7,6,4,2,7,14,15,18,4,0,2,2,2,1,4,2,11,6,1,3,3,5,0
Q019,6,1,4,2,4,5,13,6,1,0,0,1,2,3,1,2,7,3,0,0,1,0,2
Q020,40,3,5,3,1,11,7,19,2,2,1,2,3,0,2,1,2,2,0,8,10,0,1
Q021,72,24,15,3,11,4,11,14,10,6,2,5,2,4,1,0,2,0,0,11,11,1,2
Q022,7,0,2,0,1,7,12,6,0,0,1,0,0,3,0,3,3,6,1,0,1,2,0
Q023,14,4,9,5,11,4,2,4,12,18,1,5,5,5,2,0,3,0,0,1,2,0,19
