,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023
Q001,164,56,103,30,47,62,43,40,31,36,12,9,20,14,1,10,10,12,7,16,30,2,5
Q002,59,12,21,3,10,11,19,8,11,12,3,1,1,0,1,2,1,0,0,2,6,2,6
Q003,148,21,31,14,36,17,15,8,21,30,13,9,4,6,0,2,4,3,4,4,9,2,6
Q004,64,12,26,22,39,16,4,6,11,5,16,8,14,10,1,1,1,1,0,0,3,0,2
Q005,109,15,32,38,44,25,22,14,4,9,19,14,17,22,3,7,6,9,2,5,11,1,7
Q006,78,14,29,12,42,33,29,14,4,2,5,7,9,15,4,4,9,11,5,4,3,0,0
Q007,55,10,9,3,25,40,23,19,6,1,4,2,10,9,4,6,6,16,2,3,6,7,1
Q008,60,8,5,2,9,12,18,15,1,2,1,3,1,2,0,3,3,7,2,5,5,0,0
Q009,29,12,18,4,1,6,3,6,26,18,7,5,6,1,1,1,0,1,1,2,2,2,13
Q010,43,20,31,9,14,4,3,5,11,19,16,11,1,4,2,0,1,0,1,0,4,1,13
Q011,29,9,17,13,10,4,4,0,5,10,4,10,3,3,0,1,4,2,0,0,3,0,3
Q012,23,8,18,4,15,6,3,2,7,16,10,22,2,3,1,1,1,1,2,0,3,0,5
Q013,22,8,12,15,26,15,10,2,8,7,4,3,33,17,3,7,3,2,1,0,1,0,1
Q014,24,3,14,11,13,21,9,4,0,3,2,4,20,16,1,6,3,0,2,0,3,0,2
Q015,10,4,1,1,5,7,4,1,1,1,0,1,2,5,4,6,3,1,1,0,1,0,0
Q016,12,1,1,1,7,8,6,4,1,0,2,0,8,1,4,6,8,2,0,0,2,1,0
Q017,17,0,3,1,18,9,15,8,1,2,0,1,2,5,3,8,14,3,1,1,0,6,0
Q018,15,0,3,1,8,15,9,4,0,2,1,0,0,0,2,0,3,3,2,2,0,3,0
Q019,7,0,4,2,1,1,1,8,0,0,0,1,3,1,0,0,9,4,0,1,0,2,1
Q020,35,5,1,1,3,4,6,12,1,0,2,1,1,0,1,1,1,2,0,2,6,0,1
Q021,31,5,8,5,3,1,4,4,6,2,0,2,0,1,0,0,1,1,1,0,0,0,0
Q022,8,1,2,0,0,0,7,3,1,0,0,0,1,1,0,2,3,1,1,0,1,0,0
Q023,16,6,9,4,6,1,2,2,20,11,0,3,4,2,2,2,0,0,1,0,0,0,11
